Description,Category,Price
local annual monthly online monthly local annual annual local Pet Store,General Store,194.03
online online premium monthly Convenience Store,General Store,126.19
Convenience Store,General Store,248.27
premium premium premium premium online online premium monthly Convenience Store,General Store,384.98
annual premium online online premium premium premium premium online online premium monthly Convenience Store,General Store,130.42
annual monthly online monthly local annual annual local Pet Store,General Store,241.15
annual premium online online premium premium premium premium online online premium monthly Convenience Store,General Store,115.54
local online local annual monthly online monthly local annual annual local Pet Store,General Store,468.29
Convenience Store,General Store,412.68
local annual monthly online monthly local annual annual local Pet Store,General Store,322.39
local annual monthly online monthly local annual annual local Pet Store,General Store,55.38
premium premium premium annual monthly annual monthly monthly annual annual annual premium premium annual Grocery Store,Grocery Stores,182.62
local annual annual Supermarket,Grocery Stores,428.04
annual monthly online premium online monthly premium local annual annual Supermarket,Grocery Stores,274.41
Food Store,Grocery Stores,122.44
annual local online online monthly annual online online local annual online Farmers Market,Grocery Stores,297.55
annual online online local annual online Farmers Market,Grocery Stores,187.48
annual premium premium annual Grocery Store,Grocery Stores,25.05
annual annual annual local monthly online annual Food Store,Grocery Stores,73.98
online annual annual annual local monthly online annual Food Store,Grocery Stores,21.57
